Country,Rank,Account,Title,Link,Subscribers count,Views avg.,Likes avg.,Comments avg.,Shares avg.,Scraped
All,88,tydollasign,Ty Dolla $ign,https://www.tiktok.com/@tydollasign,576600.0,5100000.0,1100000.0,3200.0,8900.0,2022-02-07 16:54:35.641971
All,89,vanessalopesr,Vanessa Lopes,https://www.tiktok.com/@vanessalopesr,19300000.0,6700000.0,725600.0,7400.0,6000.0,2022-02-07 16:54:35.641971
All,90,tifannylm,⚡️TEF,https://www.tiktok.com/@tifannylm,7500000.0,8700000.0,1200000.0,4900.0,1100.0,2022-02-07 16:54:35.641971
All,91,lelepons,Lele Pons,https://www.tiktok.com/@lelepons,26200000.0,8100000.0,901900.0,2500.0,6000.0,2022-02-07 16:54:35.641971
All,92,mynamsissihab,Mynameissihab,https://www.tiktok.com/@mynamsissihab,730400.0,7200000.0,813100.0,4300.0,6100.0,2022-02-07 16:54:35.641971
All,93,jakefellman,Jake Fellman,https://www.tiktok.com/@jakefellman,12000000.0,8199999.999999999,603700.0,8500.0,3800.0,2022-02-07 16:54:35.641971
All,94,thoriqhal,thariqhalilintar,https://www.tiktok.com/@thoriqhal,3300000.0,8000000.0,1100000.0,4900.0,1900.0,2022-02-07 16:54:35.641971
All,95,adinross,adin,https://www.tiktok.com/@adinross,4600000.0,5800000.0,839700.0,6900.0,5200.0,2022-02-07 16:54:35.641971
All,96,kallmekris,Kris HC,https://www.tiktok.com/@kallmekris,42600000.0,5600000.0,1100000.0,5200.0,4300.0,2022-02-07 16:54:35.641971
All,97,isaiahgarza,Isaiah Garza,https://www.tiktok.com/@isaiahgarza,7300000.0,6500000.0,1100000.0,4700.0,3200.0,2022-02-07 16:54:35.641971
All,98,lyrico__,ʟʏʀɪᴄᴏ,https://www.tiktok.com/@lyrico__,2800000.0,3000000.0,369500.0,6400.0,44200.0,2022-02-07 16:54:35.641971
All,99,00h.88m,Gui,https://www.tiktok.com/@00h.88m,2500000.0,4300000.0,602300.0,2500.0,18800.0,2022-02-07 16:54:35.641971
All,100,pinchulli,Ирина Пинчук,https://www.tiktok.com/@pinchulli,2100000.0,5400000.0,566600.0,2000.0,15700.0,2022-02-07 16:54:35.641971
All,101,soydekko,Soydekko,https://www.tiktok.com/@soydekko,4400000.0,5800000.0,1100000.0,7700.0,853.0,2022-02-07 16:54:35.641971
All,102,thebenjishowfr,benji,https://www.tiktok.com/@thebenjishowfr,5200000.0,5400000.0,717500.0,5000.0,7900.0,2022-02-07 16:54:35.641971
All,103,thelivingtombstone,The Living Tombstone,https://www.tiktok.com/@thelivingtombstone,1200000.0,3900000.0,908900.0,9100.0,4800.0,2022-02-07 16:54:35.641971
All,104,_monaalawi,mona,https://www.tiktok.com/@_monaalawi,11200000.0,7400000.0,952300.0,4600.0,2400.0,2022-02-07 16:54:35.641971
All,105,uncletics,Uncle Tics,https://www.tiktok.com/@uncletics,3700000.0,3800000.0,430200.0,3300.0,27200.0,2022-02-07 16:54:35.641971
All,106,soojinicoreana,Chingu Amiga,https://www.tiktok.com/@soojinicoreana,16500000.0,7500000.0,1200000.0,3800.0,1700.0,2022-02-07 16:54:35.641971
All,107,agc.andy,andy,https://www.tiktok.com/@agc.andy,2400000.0,3500000.0,851000.0,6800.0,9400.0,2022-02-07 16:54:35.641971
All,108,dima_maslen,Дмитрий Масленников,https://www.tiktok.com/@dima_maslen,4500000.0,6000000.0,648600.0,10400.0,2100.0,2022-02-07 16:54:35.641971
All,109,girlsontop_sm,Girls On Top,https://www.tiktok.com/@girlsontop_sm,1000000.0,4800000.0,1000000.0,5900.0,3700.0,2022-02-07 16:54:35.641971
All,110,nicocaponecomedy,nicocapone.comedy,https://www.tiktok.com/@nicocaponecomedy,18900000.0,9300000.0,516900.0,2900.0,7100.0,2022-02-07 16:54:35.641971
All,111,mrbeast,MrBeast,https://www.tiktok.com/@mrbeast,32900000.0,4300000.0,642200.0,13500.0,3300.0,2022-02-07 16:54:35.641971
All,112,selinamichelle96,selinamichelle96,https://www.tiktok.com/@selinamichelle96,20500.0,3500000.0,650700.0,3100.0,17200.0,2022-02-07 16:54:35.641971
All,113,billlnai,nai,https://www.tiktok.com/@billlnai,8300000.000000001,5000000.0,1200000.0,4900.0,3100.0,2022-02-07 16:54:35.641971
All,114,give_my_oscar,give_my_oscar,https://www.tiktok.com/@give_my_oscar,862100.0,3900000.0,626900.0,2700.0,15700.0,2022-02-07 16:54:35.641971
All,115,piperrockelle,Piperrockelle,https://www.tiktok.com/@piperrockelle,8199999.999999999,4300000.0,527100.0,17000.0,2700.0,2022-02-07 16:54:35.641971
All,116,amauryguichon,Amaury Guichon,https://www.tiktok.com/@amauryguichon,2500000.0,5700000.0,672500.0,4500.0,7000.0,2022-02-07 16:54:35.641971
All,117,sofarsabi,SOFARSABI,https://www.tiktok.com/@sofarsabi,5100000.0,6100000.0,755600.0,7600.0,1600.0,2022-02-07 16:54:35.641971
All,118,joaoguilherme,joão guilherme tlg?,https://www.tiktok.com/@joaoguilherme,6300000.0,5500000.0,726100.0,8100.0,2400.0,2022-02-07 16:54:35.641971
All,119,c4tluvr666,kennedy,https://www.tiktok.com/@c4tluvr666,2200000.0,5300000.0,1100000.0,4900.0,2000.0,2022-02-07 16:54:35.641971
All,120,zachking,Zach King,https://www.tiktok.com/@zachking,67099999.99999999,10600000.0,709800.0,3200.0,2200.0,2022-02-07 16:54:35.641971
All,121,ayesebastien,Sebastien,https://www.tiktok.com/@ayesebastien,7000000.0,4500000.0,716500.0,3900.0,8900.0,2022-02-07 16:54:35.641971
All,122,jake2r,"Jake2r, Ph.D.",https://www.tiktok.com/@jake2r,1800000.0,2900000.0,666500.0,3900.0,17000.0,2022-02-07 16:54:35.641971
All,123,murda10k,MURDA10K,https://www.tiktok.com/@murda10k,1800000.0,3700000.0,1000000.0,5000.0,5900.0,2022-02-07 16:54:35.641971
All,124,itssassagurl,Sassa Gurl,https://www.tiktok.com/@itssassagurl,4600000.0,4300000.0,665700.0,7300.0,6900.0,2022-02-07 16:54:35.641971
All,125,gingerbilly1,GingerBilly1,https://www.tiktok.com/@gingerbilly1,5600000.0,2800000.0,322600.0,3000.0,41200.0,2022-02-07 16:54:35.641971
All,126,beniju03,BENIJU,https://www.tiktok.com/@beniju03,2100000.0,4200000.0,679400.0,11100.0,2800.0,2022-02-07 16:54:35.641971
All,127,madisonpettis,Madison Pettis,https://www.tiktok.com/@madisonpettis,2500000.0,5600000.0,980200.0,3100.0,4100.0,2022-02-07 16:54:35.641971
All,128,dixiedamelio,dixie,https://www.tiktok.com/@dixiedamelio,57000000.0,6200000.0,705400.0,5900.0,3000.0,2022-02-07 16:54:35.641971
All,129,elrodcontreras,ROD🥴,https://www.tiktok.com/@elrodcontreras,39300000.0,5000000.0,801600.0,8200.0,1500.0,2022-02-07 16:54:35.641971
All,130,qamar_altaey,𓆩𝑄𝐴𝑀𝐴𝑅¹⁶𓆪,https://www.tiktok.com/@qamar_altaey,2500000.0,4300000.0,391900.0,10900.0,11800.0,2022-02-07 16:54:35.641971
All,131,jennmelon,Jenn Melon,https://www.tiktok.com/@jennmelon,1800000.0,3400000.0,888800.0,5600.0,7000.0,2022-02-07 16:54:35.641971
All,132,nourmar5,nourmar5,https://www.tiktok.com/@nourmar5,14200000.0,4099999.9999999995,312700.0,15400.0,14200.0,2022-02-07 16:54:35.641971
All,133,jaykindafunny8,Jaykindafunny,https://www.tiktok.com/@jaykindafunny8,22300000.0,12000000.0,467800.0,2600.0,4000.0,2022-02-07 16:54:35.641971
All,134,itsjulia.a,julia,https://www.tiktok.com/@itsjulia.a,16700.0,4500000.0,748500.0,3800.0,7000.0,2022-02-07 16:54:35.641971
All,135,spencer_serafica,Xspencer,https://www.tiktok.com/@spencer_serafica,11800000.0,4900000.0,821900.0,6600.0,2500.0,2022-02-07 16:54:35.641971
All,136,angelaaguilar_,Angela Aguilar :),https://www.tiktok.com/@angelaaguilar_,8100000.0,10500000.0,747900.0,2600.0,2000.0,2022-02-07 16:54:35.641971
All,137,pkllipe,Pk,https://www.tiktok.com/@pkllipe,15700000.0,5100000.0,775500.0,3700.0,5300.0,2022-02-07 16:54:35.641971
All,138,hayleygeorgiamorris,Hayley Morris,https://www.tiktok.com/@hayleygeorgiamorris,2700000.0,3300000.0,489600.0,2200.0,19400.0,2022-02-07 16:54:35.641971
All,139,twice_tiktok_official,TWICE,https://www.tiktok.com/@twice_tiktok_official,13200000.0,2400000.0,779200.0,13800.0,4800.0,2022-02-07 16:54:35.641971
All,140,lexibrookerivera,Lexi Rivera,https://www.tiktok.com/@lexibrookerivera,20500000.0,5700000.0,682800.0,5900.0,2700.0,2022-02-07 16:54:35.641971
All,141,theandrewschulz,Andrew Schulz,https://www.tiktok.com/@theandrewschulz,2100000.0,4200000.0,445600.0,1800.0,16100.000000000002,2022-02-07 16:54:35.641971
All,142,kallmewhateveryouwant,kallmewhateveryouwant,https://www.tiktok.com/@kallmewhateveryouwant,10600000.0,5000000.0,713800.0,4600.0,4700.0,2022-02-07 16:54:35.641971
All,143,larrayeeee,LARRAY,https://www.tiktok.com/@larrayeeee,25500000.0,4400000.0,797700.0,6800.0,2600.0,2022-02-07 16:54:35.641971
All,144,anaraquelhz,Raquel,https://www.tiktok.com/@anaraquelhz,2600000.0,4500000.0,376900.0,4700.0,14300.0,2022-02-07 16:54:35.641971
All,145,mr_paul.boy,"Паул, либо просто Паша",https://www.tiktok.com/@mr_paul.boy,6700000.0,4099999.9999999995,806800.0,5300.0,4300.0,2022-02-07 16:54:35.641971
All,146,connoralik,Коннор,https://www.tiktok.com/@connoralik,7400000.0,8300000.000000001,645700.0,3100.0,2800.0,2022-02-07 16:54:35.641971
